school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,M,15.0,R,LE3,A,1,1,at_home,services,home,other,1,3,0,yes,yes,yes,yes,yes,no,no,yes,5,3,1,2,1,4,20,5,9,7.0
MS,M,17.0,U,LE3,A,0,4,other,health,home,mother,4,4,1,no,no,no,no,no,yes,no,no,1,5,3,4,3,3,56,7,0,5.0
MS,F,21.0,U,LE3,A,2,2,services,other,reputation,father,1,1,2,yes,no,yes,yes,yes,yes,no,no,4,4,2,5,5,5,83,11,0,12.0
MS,F,20.0,U,GT3,A,0,0,health,teacher,home,mother,3,2,2,yes,no,no,yes,yes,yes,no,yes,4,2,1,5,5,5,50,5,12,20.0
GP,M,22.0,R,GT3,T,0,0,health,at_home,course,other,1,2,1,no,no,no,yes,no,no,no,no,3,3,3,3,3,4,1,2,14,2.0
MS,F,21.0,U,LE3,A,1,2,other,services,home,mother,1,2,1,yes,yes,no,no,yes,yes,yes,yes,2,2,5,5,2,4,24,14,20,1.0
MS,M,18.0,U,GT3,A,3,4,at_home,at_home,course,father,1,2,1,yes,no,no,yes,yes,yes,yes,no,1,2,4,1,1,2,0,16,0,9.0
GP,F,19.0,R,GT3,A,3,0,other,at_home,reputation,mother,2,2,2,yes,no,yes,yes,yes,yes,no,yes,1,5,4,2,3,2,67,18,9,4.0
GP,M,16.0,U,LE3,T,2,3,other,teacher,other,father,1,1,0,no,no,yes,no,no,yes,no,no,1,5,1,5,3,1,66,18,18,3.0
MS,F,21.0,R,GT3,T,2,1,teacher,other,home,mother,3,3,2,no,no,no,yes,yes,no,yes,no,4,1,1,5,2,5,69,17,18,18.0
MS,M,15.0,U,LE3,A,4,2,health,at_home,other,mother,2,3,1,no,yes,no,no,yes,no,no,yes,2,3,5,2,1,1,56,9,4,11.0
GP,F,16.0,R,GT3,T,3,1,teacher,services,home,father,4,2,2,yes,no,no,yes,yes,yes,no,no,1,3,4,5,4,4,67,16,14,1.0
GP,M,16.0,U,LE3,T,2,2,health,teacher,other,father,4,4,3,yes,yes,yes,yes,no,no,yes,yes,5,5,5,3,2,1,75,4,11,17.0
GP,F,17.0,U,GT3,T,4,4,services,at_home,other,mother,2,2,2,yes,no,no,yes,no,no,yes,yes,2,1,4,5,5,5,49,17,14,17.0
MS,F,19.0,U,LE3,A,3,4,services,teacher,course,father,3,2,3,no,yes,no,no,yes,yes,no,yes,1,2,4,4,1,4,39,17,3,19.0
GP,F,18.0,R,LE3,T,1,2,other,services,course,other,1,2,2,yes,yes,yes,no,yes,no,yes,yes,3,2,5,3,1,2,32,15,20,13.0
MS,F,21.0,R,GT3,T,3,2,teacher,teacher,home,father,3,3,3,no,yes,no,no,no,no,no,no,2,1,4,4,3,5,47,0,5,5.0
GP,M,20.0,R,LE3,T,0,2,teacher,services,reputation,father,1,3,3,no,yes,no,no,yes,yes,yes,yes,3,1,1,3,5,5,2,19,8,13.0
GP,F,17.0,U,GT3,T,4,4,other,teacher,course,mother,2,4,1,yes,no,no,yes,yes,no,yes,yes,5,2,4,2,5,5,32,9,7,19.0
GP,M,19.0,U,GT3,A,0,0,health,services,reputation,other,3,4,3,yes,no,no,no,no,no,yes,yes,5,5,4,5,2,5,32,1,15,19.0
MS,M,22.0,R,LE3,T,4,4,services,at_home,other,father,2,1,1,yes,no,yes,no,no,no,no,no,4,3,4,3,3,4,78,12,10,11.0
GP,M,16.0,U,GT3,A,0,1,other,at_home,reputation,other,3,2,0,no,no,no,no,no,no,yes,no,3,4,4,1,1,4,64,2,16,17.0
GP,F,19.0,U,GT3,T,2,0,services,at_home,home,father,1,4,1,no,yes,no,no,yes,yes,yes,no,1,5,3,1,4,2,80,5,1,8.0
MS,M,20.0,R,LE3,A,0,3,health,services,course,father,4,2,3,no,yes,no,no,no,no,yes,no,5,4,4,2,3,5,100,2,5,20.0
MS,F,19.0,U,GT3,T,2,2,other,teacher,home,mother,3,3,1,no,no,no,no,no,yes,yes,yes,4,2,2,2,3,3,100,11,0,5.0
MS,M,20.0,R,GT3,T,3,1,health,services,home,mother,2,3,2,no,no,yes,no,no,no,no,no,5,1,4,2,2,3,100,0,10,1.0
MS,M,17.0,U,GT3,T,3,1,health,health,home,mother,2,1,2,yes,yes,yes,yes,no,no,yes,yes,5,2,4,5,4,1,100,12,12,6.0
MS,M,17.0,R,GT3,T,1,1,health,other,other,other,3,1,3,no,no,no,no,no,yes,no,yes,5,3,3,2,4,2,100,12,0,19.0
GP,F,22.0,R,LE3,T,1,0,at_home,health,reputation,father,3,1,3,yes,no,yes,yes,yes,no,yes,yes,4,2,5,3,1,5,100,18,17,1.0
MS,M,20.0,R,GT3,T,3,3,services,at_home,course,father,2,2,1,no,no,no,yes,no,yes,no,yes,3,3,1,1,4,2,100,8,13,1.0
GP,M,15.0,U,LE3,T,4,2,health,health,reputation,other,1,3,3,yes,yes,yes,yes,no,no,yes,no,4,5,2,5,3,3,100,4,0,3.0
MS,F,17.0,R,LE3,T,3,2,teacher,at_home,reputation,father,1,4,1,no,yes,yes,no,yes,no,yes,yes,4,4,3,3,4,1,100,2,11,13.0
MS,F,20.0,U,LE3,T,0,1,services,health,home,father,3,3,0,no,yes,no,no,no,no,no,yes,5,4,1,5,4,5,100,17,4,14.0
GP,M,20.0,R,LE3,A,3,0,other,teacher,reputation,mother,1,3,1,yes,yes,no,yes,no,no,yes,yes,3,3,4,5,5,5,100,2,7,8.0
GP,F,16.0,U,LE3,T,1,4,health,other,course,father,4,3,1,yes,yes,no,no,yes,no,no,no,3,4,3,4,5,4,11,10,4,18.0
MS,F,20.0,U,GT3,A,4,1,teacher,services,reputation,mother,4,2,3,yes,yes,no,yes,yes,no,yes,no,1,5,1,3,1,3,57,10,8,0.0
MS,F,16.0,R,LE3,T,3,0,health,other,reputation,father,1,2,3,no,yes,yes,yes,no,no,no,yes,5,3,3,1,4,4,85,4,3,3.0
MS,F,17.0,U,GT3,A,2,1,services,at_home,reputation,father,3,4,0,yes,yes,no,yes,no,no,yes,yes,3,1,2,2,4,3,32,12,5,7.0
MS,M,18.0,R,GT3,A,0,1,services,at_home,course,other,2,3,0,yes,yes,yes,yes,yes,no,yes,no,1,1,2,3,5,4,70,8,18,4.0
GP,F,22.0,R,LE3,A,2,3,teacher,other,home,father,2,4,0,yes,no,no,no,yes,no,no,no,2,1,5,3,2,2,19,20,10,20.0
GP,F,19.0,R,GT3,A,2,1,services,health,course,mother,3,4,0,yes,yes,yes,yes,no,no,no,no,4,2,2,3,4,5,66,0,4,16.0
GP,F,17.0,R,LE3,A,1,0,health,other,home,mother,1,3,0,no,no,yes,no,yes,yes,no,no,3,4,3,2,5,4,76,9,6,15.0
GP,F,20.0,U,LE3,T,0,4,at_home,other,course,mother,3,4,3,yes,no,no,yes,yes,yes,no,yes,4,4,2,2,4,3,77,4,9,11.0
MS,F,22.0,R,LE3,T,1,3,at_home,other,other,mother,2,2,0,yes,yes,yes,no,no,yes,no,no,5,2,1,4,3,2,31,17,12,11.0
GP,M,18.0,U,LE3,T,0,3,health,services,home,father,3,2,2,no,yes,no,no,no,yes,no,no,3,4,1,4,5,3,39,14,7,2.0
MS,M,17.0,U,GT3,A,1,0,at_home,at_home,other,father,1,4,1,yes,no,no,no,yes,yes,no,yes,1,3,1,1,4,4,53,9,4,20.0
MS,M,19.0,R,GT3,T,2,0,health,services,course,mother,4,1,0,yes,yes,no,yes,no,no,yes,no,4,3,4,3,4,1,80,0,9,20.0
MS,F,22.0,R,LE3,A,2,0,teacher,teacher,other,other,4,1,3,no,yes,yes,yes,yes,yes,no,no,4,5,5,2,2,5,24,9,11,11.0
GP,F,22.0,U,LE3,T,2,4,other,at_home,course,father,2,1,2,yes,yes,yes,no,yes,no,yes,yes,4,3,2,3,3,3,75,9,2,1.0
MS,F,22.0,U,LE3,A,4,1,health,health,course,father,3,3,1,yes,yes,yes,no,no,yes,no,yes,3,2,5,2,1,2,61,11,14,7.0
MS,M,17.0,R,GT3,A,4,0,health,other,other,father,3,2,0,no,no,yes,no,yes,yes,no,no,3,4,3,4,2,2,54,14,14,16.0
MS,F,18.0,R,LE3,A,4,2,other,other,reputation,other,4,2,3,no,yes,yes,yes,no,no,no,yes,3,5,1,5,3,3,87,13,12,8.0
GP,F,17.0,U,GT3,T,0,2,health,at_home,course,other,2,3,3,no,no,no,no,yes,no,yes,yes,2,4,3,4,5,5,67,8,2,12.0
MS,F,16.0,R,LE3,T,0,4,teacher,teacher,other,father,4,2,1,yes,yes,yes,no,no,no,yes,yes,4,1,1,5,2,2,19,17,3,6.0
GP,F,17.0,R,GT3,A,0,4,health,at_home,home,father,2,3,3,yes,yes,no,yes,no,yes,yes,no,4,5,3,1,5,2,91,7,7,3.0
GP,M,17.0,U,LE3,A,3,4,other,health,course,other,1,4,0,yes,yes,no,no,no,no,no,yes,5,5,2,3,3,5,61,8,9,9.0
MS,F,22.0,U,LE3,T,1,0,teacher,teacher,course,father,4,1,3,yes,yes,yes,yes,no,no,yes,no,3,1,2,5,3,4,26,14,5,18.0
MS,M,17.0,R,LE3,T,2,4,other,at_home,home,mother,2,4,1,no,no,no,yes,no,yes,yes,no,4,2,2,1,4,4,76,18,6,8.0
GP,M,15.0,U,LE3,T,3,0,health,teacher,other,father,1,1,0,yes,no,no,no,yes,yes,yes,yes,3,2,3,5,4,2,12,1,20,0.0
MS,M,19.0,U,GT3,A,0,4,services,teacher,home,father,1,4,2,yes,no,no,no,yes,no,no,no,4,5,1,5,2,3,89,5,16,2.0
MS,M,19.0,U,GT3,T,1,4,teacher,at_home,course,mother,3,4,3,no,no,yes,no,yes,yes,no,no,4,2,2,1,1,5,66,3,7,15.0
MS,M,19.0,U,LE3,T,3,3,teacher,at_home,reputation,other,2,2,0,no,no,yes,yes,no,yes,yes,no,2,1,5,1,1,3,14,10,14,0.0
MS,F,19.0,U,LE3,A,1,0,teacher,services,reputation,mother,1,4,1,yes,yes,yes,no,no,no,yes,yes,4,4,5,4,1,4,5,18,14,20.0
GP,M,21.0,U,GT3,T,2,2,teacher,health,course,father,2,3,2,yes,yes,yes,no,yes,yes,yes,yes,3,4,4,1,4,1,4,5,17,9.0
GP,F,18.0,U,GT3,A,4,3,at_home,health,reputation,mother,4,3,0,no,no,no,yes,yes,no,yes,yes,3,4,1,2,4,5,4,20,5,4.0
GP,F,20.0,U,GT3,A,1,4,at_home,other,course,other,3,3,3,no,yes,no,yes,yes,no,yes,yes,2,5,1,4,1,1,26,4,19,4.0
GP,M,16.0,R,LE3,T,0,4,health,health,other,other,4,2,2,no,no,yes,yes,no,no,no,no,2,1,3,4,2,3,31,15,7,2.0
GP,M,18.0,U,LE3,A,2,2,other,teacher,home,mother,2,1,1,yes,no,yes,no,no,no,no,yes,5,3,4,2,3,2,24,14,13,20.0
GP,M,21.0,R,GT3,T,0,0,teacher,at_home,course,mother,1,1,3,no,no,no,yes,yes,yes,no,yes,5,1,3,4,5,5,1,19,8,16.0
GP,M,17.0,R,LE3,T,3,1,services,other,home,mother,1,4,0,yes,yes,yes,yes,yes,yes,no,no,4,2,1,4,3,4,64,9,1,16.0
MS,F,19.0,U,LE3,T,2,2,teacher,health,home,father,1,4,0,yes,yes,yes,yes,yes,no,yes,no,4,1,2,1,3,2,33,10,0,18.0
MS,F,18.0,R,GT3,T,0,2,services,health,course,other,4,4,0,yes,no,yes,yes,yes,yes,yes,yes,2,1,1,2,2,2,9,15,10,1.0
GP,F,19.0,U,LE3,A,1,2,at_home,teacher,course,other,4,1,3,no,no,yes,no,yes,no,no,no,1,2,3,4,1,5,85,1,16,20.0
MS,M,15.0,U,LE3,A,4,3,other,health,course,other,2,2,3,no,no,yes,no,yes,yes,yes,yes,1,5,1,5,1,1,64,10,3,8.0
MS,F,22.0,R,LE3,A,2,4,teacher,services,course,mother,4,1,2,yes,yes,no,no,yes,yes,yes,yes,5,3,5,2,3,3,27,19,4,9.0
GP,M,18.0,U,LE3,A,1,3,teacher,at_home,reputation,mother,3,2,0,yes,no,yes,yes,no,yes,no,no,2,2,3,5,1,4,92,0,10,1.0
GP,M,16.0,R,LE3,A,3,3,services,health,course,mother,4,1,2,no,no,no,no,no,no,yes,yes,5,5,3,5,2,3,2,9,2,7.0
GP,M,21.0,R,GT3,A,1,1,teacher,services,other,father,4,1,1,no,no,yes,no,yes,yes,no,yes,2,2,1,3,1,2,49,0,17,5.0
GP,F,16.0,R,LE3,T,0,0,services,services,home,mother,1,2,0,yes,yes,yes,yes,no,no,no,yes,5,3,1,3,4,1,33,16,6,0.0
MS,F,22.0,U,GT3,A,0,2,services,health,home,other,1,4,1,yes,no,no,yes,yes,no,yes,no,2,2,2,4,4,2,56,15,20,3.0
GP,M,21.0,U,LE3,A,2,2,teacher,services,home,father,4,4,3,no,no,yes,no,no,no,yes,yes,1,5,5,5,1,2,76,15,9,18.0
MS,F,18.0,R,GT3,A,3,3,other,teacher,other,father,2,1,3,yes,no,no,no,no,no,yes,no,2,2,1,5,4,2,48,15,9,5.0
GP,F,18.0,U,GT3,A,3,3,at_home,health,reputation,mother,3,4,0,yes,yes,no,no,no,no,yes,no,2,2,4,4,4,1,13,13,3,5.0
MS,M,19.0,R,GT3,A,4,0,services,services,other,mother,2,1,3,no,no,no,yes,no,no,no,no,1,3,4,1,2,2,7,20,8,14.0
GP,F,16.0,U,LE3,A,1,0,teacher,at_home,home,other,2,2,1,no,no,yes,no,no,yes,yes,yes,1,5,3,1,5,4,31,6,13,9.0
GP,F,19.0,R,LE3,T,4,3,other,services,other,mother,1,3,1,yes,no,yes,no,yes,yes,no,no,5,4,5,4,5,4,26,15,15,2.0
MS,M,20.0,R,GT3,T,2,1,services,teacher,home,other,1,1,1,yes,no,yes,no,yes,no,no,no,3,2,4,1,5,5,68,13,2,14.0
MS,M,17.0,U,LE3,T,1,2,services,services,other,mother,3,3,1,yes,yes,no,no,no,no,yes,yes,5,4,4,4,5,3,43,15,3,17.0
MS,M,22.0,R,GT3,A,4,2,services,other,course,other,4,4,3,yes,no,yes,no,no,no,yes,no,5,5,3,2,3,5,85,6,18,14.0
MS,M,22.0,R,GT3,A,3,4,at_home,services,other,mother,2,2,1,no,no,yes,yes,yes,yes,yes,no,5,2,5,5,3,2,5,14,15,18.0
MS,M,18.0,R,GT3,A,0,1,other,health,other,father,3,4,2,yes,yes,yes,no,no,yes,no,yes,3,4,5,3,1,4,57,1,15,16.0
MS,F,18.0,U,LE3,T,2,2,health,health,other,mother,3,1,2,no,yes,no,yes,no,no,yes,yes,1,5,5,2,2,3,8,2,4,8.0
MS,F,18.0,R,GT3,A,0,2,at_home,other,course,other,1,2,3,no,no,yes,yes,no,yes,yes,no,5,2,5,2,3,3,81,20,13,5.0
MS,M,18.0,R,GT3,A,3,2,health,other,other,other,2,1,2,no,no,no,yes,no,no,no,no,1,5,1,1,4,5,37,12,16,2.0
GP,M,15.0,U,LE3,A,3,4,other,other,other,mother,2,3,3,yes,no,yes,no,yes,yes,no,no,4,4,5,2,2,5,13,18,17,0.0
MS,M,17.0,U,LE3,T,2,1,other,health,course,mother,4,1,1,no,no,yes,yes,yes,no,yes,no,2,1,5,1,4,4,27,8,3,3.0
GP,F,17.0,U,GT3,T,0,1,other,at_home,course,father,3,1,0,yes,no,yes,no,no,no,yes,yes,3,5,4,5,3,1,3,13,10,13.0
MS,M,21.0,R,LE3,A,0,2,at_home,teacher,reputation,father,1,2,0,yes,no,yes,yes,no,no,yes,no,1,2,5,2,1,2,54,12,17,16.0
GP,M,19.0,R,LE3,A,1,1,teacher,health,course,father,3,3,2,yes,yes,no,yes,no,no,no,yes,3,5,1,3,1,1,13,12,14,13.0
MS,F,18.0,U,LE3,T,0,1,teacher,health,other,mother,3,3,0,yes,yes,no,yes,no,yes,yes,no,4,2,5,3,3,2,49,2,4,3.0
GP,F,21.0,U,LE3,T,3,4,services,teacher,course,mother,4,3,0,no,yes,yes,yes,yes,yes,yes,no,1,2,2,5,2,1,64,0,17,20.0
GP,M,18.0,R,GT3,A,0,2,health,other,other,father,4,3,1,yes,yes,yes,no,no,no,no,yes,5,2,2,5,1,2,88,6,1,2.0
MS,M,16.0,R,GT3,T,0,1,at_home,at_home,home,father,3,2,2,no,yes,yes,yes,yes,no,yes,yes,5,5,5,4,4,1,67,7,0,12.0
MS,F,22.0,U,LE3,A,4,3,other,teacher,home,father,3,1,1,no,no,yes,yes,no,yes,yes,no,5,2,5,4,1,4,64,6,14,5.0
GP,M,16.0,R,GT3,A,1,3,other,services,home,father,3,1,3,yes,yes,no,no,no,no,yes,yes,2,4,1,1,2,1,65,4,3,7.0
GP,M,19.0,U,LE3,A,0,4,teacher,services,course,other,4,1,3,no,no,yes,yes,yes,no,yes,yes,2,4,4,5,1,3,15,5,13,16.0
GP,M,22.0,U,GT3,A,0,1,at_home,teacher,other,other,2,3,0,yes,yes,yes,no,yes,no,no,yes,2,5,3,3,2,1,50,9,16,6.0
GP,M,19.0,U,LE3,A,2,3,teacher,health,reputation,father,4,2,3,no,no,no,yes,no,no,yes,no,4,2,1,2,2,2,23,18,18,13.0
GP,M,19.0,R,LE3,A,3,2,health,health,course,mother,2,2,3,no,no,yes,yes,yes,yes,no,no,4,1,5,3,5,5,28,17,17,14.0
MS,M,22.0,U,LE3,T,4,3,health,other,course,other,2,1,3,no,no,yes,yes,yes,yes,no,no,5,3,2,1,5,2,77,13,2,9.0
GP,F,19.0,U,LE3,A,1,2,health,teacher,reputation,mother,2,2,3,no,yes,no,yes,yes,yes,no,no,5,1,3,1,4,1,12,2,9,6.0
MS,F,19.0,R,LE3,T,0,2,at_home,at_home,home,father,2,4,1,no,yes,yes,no,yes,no,yes,no,5,2,2,3,1,2,2,19,6,14.0
GP,M,18.0,R,LE3,T,0,2,other,at_home,home,mother,4,4,2,yes,no,no,yes,no,yes,yes,yes,4,4,2,5,2,4,42,14,19,9.0
MS,M,19.0,R,LE3,A,3,3,other,at_home,course,mother,3,2,1,no,no,no,no,no,no,yes,yes,2,2,2,5,4,1,42,13,8,6.0
GP,F,20.0,R,LE3,A,3,0,teacher,other,home,other,1,2,0,no,no,yes,yes,yes,no,yes,no,4,3,3,2,1,3,12,1,9,10.0
MS,M,16.0,U,GT3,T,2,3,other,services,home,other,2,1,3,yes,yes,yes,no,no,yes,yes,no,1,5,4,4,5,3,8,7,1,9.0
MS,M,18.0,U,GT3,T,3,1,teacher,at_home,course,other,4,1,2,no,no,no,yes,no,yes,no,yes,4,3,4,5,4,1,40,3,17,7.0
GP,F,16.0,U,LE3,T,3,1,other,services,reputation,mother,1,4,0,yes,yes,yes,no,no,yes,yes,no,4,3,5,5,2,4,11,15,19,5.0
MS,F,16.0,U,GT3,A,3,4,health,services,reputation,father,4,1,2,no,no,yes,yes,no,yes,yes,no,5,2,1,4,4,5,73,7,8,13.0
GP,M,18.0,R,LE3,T,0,4,health,other,reputation,other,2,3,3,no,yes,no,no,no,no,yes,yes,2,5,4,5,5,4,12,1,15,16.0
GP,M,20.0,R,LE3,A,3,3,other,services,reputation,father,2,3,2,yes,yes,no,yes,yes,yes,no,yes,4,2,1,5,2,4,64,5,15,20.0
GP,M,22.0,R,GT3,T,1,2,services,health,other,mother,2,2,3,no,no,no,yes,yes,yes,no,no,5,4,5,2,1,4,8,16,17,19.0
MS,M,17.0,U,GT3,T,2,1,services,other,course,father,1,4,3,no,yes,yes,yes,yes,yes,no,yes,1,4,4,3,3,1,57,10,17,12.0
MS,M,17.0,U,GT3,T,1,4,at_home,health,reputation,other,4,1,0,yes,no,no,no,yes,no,no,yes,5,3,2,3,4,5,80,0,10,20.0
GP,M,18.0,R,LE3,T,3,1,health,health,home,father,4,3,0,no,no,no,yes,yes,yes,yes,yes,3,2,4,1,3,4,47,2,10,12.0
GP,F,18.0,R,LE3,A,2,1,at_home,at_home,course,father,4,2,2,no,no,no,yes,no,no,yes,no,1,4,5,4,1,2,56,2,4,1.0
MS,M,17.0,R,GT3,T,4,2,health,at_home,course,mother,4,1,3,yes,yes,yes,no,yes,yes,yes,yes,2,3,1,1,4,1,47,18,20,18.0
GP,M,17.0,R,LE3,T,0,4,teacher,services,home,other,3,1,0,no,yes,no,yes,yes,no,no,no,2,1,4,4,4,3,39,12,19,1.0
MS,F,19.0,U,GT3,T,3,4,services,other,home,father,1,2,0,no,yes,no,no,yes,no,no,no,1,1,5,2,3,4,84,13,15,0.0
GP,F,18.0,R,GT3,T,1,0,other,health,other,father,1,2,3,no,no,no,yes,no,yes,yes,yes,1,4,3,4,1,1,91,5,1,9.0
GP,F,22.0,U,LE3,A,0,3,services,health,other,other,2,1,3,no,no,no,yes,no,yes,yes,yes,2,3,2,2,5,2,90,9,9,19.0
MS,F,22.0,R,GT3,T,0,3,services,at_home,reputation,mother,2,2,3,no,yes,yes,yes,no,no,yes,yes,1,3,2,5,3,5,93,5,0,20.0
MS,M,17.0,U,GT3,T,3,0,teacher,health,home,father,1,4,1,yes,no,no,yes,no,no,no,yes,5,3,4,2,3,5,76,15,9,20.0
MS,F,17.0,U,GT3,T,3,0,at_home,services,course,father,3,1,0,yes,yes,no,no,no,yes,yes,yes,4,3,1,3,2,1,34,15,4,6.0
MS,M,15.0,R,GT3,A,0,4,health,teacher,reputation,father,3,2,0,yes,no,yes,no,no,no,no,no,3,4,3,1,3,4,41,14,10,6.0
MS,M,18.0,U,LE3,A,2,1,other,teacher,home,other,3,1,3,yes,yes,yes,no,no,no,no,no,3,4,5,5,2,4,80,9,18,13.0
GP,F,21.0,U,GT3,A,1,0,at_home,teacher,reputation,other,1,3,3,no,no,no,yes,no,yes,yes,no,2,3,1,5,4,2,49,15,9,6.0
MS,M,19.0,U,GT3,A,3,3,services,services,course,father,3,2,2,no,no,yes,no,yes,yes,no,no,3,3,4,3,2,3,36,8,1,18.0
MS,F,15.0,R,GT3,T,0,4,services,teacher,other,father,4,2,0,no,no,yes,no,no,no,no,no,3,2,5,5,1,1,45,3,1,18.0
GP,M,15.0,R,GT3,T,3,3,other,other,course,father,2,2,3,yes,yes,no,yes,yes,no,yes,yes,5,3,5,1,2,4,31,16,17,16.0
GP,M,19.0,U,LE3,T,2,4,services,at_home,other,mother,2,4,1,no,no,yes,yes,yes,yes,no,yes,2,5,4,3,4,4,64,9,0,15.0
GP,M,15.0,U,LE3,T,2,1,teacher,at_home,home,father,4,1,3,yes,yes,yes,yes,yes,yes,no,yes,5,2,4,3,3,1,43,18,15,0.0
GP,M,18.0,U,LE3,A,1,0,at_home,services,course,mother,3,2,1,yes,yes,no,yes,no,yes,no,no,4,4,2,4,2,5,90,10,13,19.0
GP,M,17.0,R,GT3,A,0,2,teacher,other,course,other,3,3,3,yes,no,no,yes,yes,no,no,no,2,3,3,5,4,1,15,18,0,12.0
MS,F,19.0,R,LE3,T,1,0,at_home,at_home,reputation,father,1,1,2,yes,no,yes,no,no,no,yes,yes,1,2,2,2,2,1,92,16,17,19.0
MS,F,16.0,U,LE3,A,3,4,health,other,home,mother,1,2,3,yes,yes,no,no,no,yes,yes,yes,3,5,2,2,2,4,19,19,2,2.0
